employee_id,department,salary,tenure,engagement_score,attrition,last_promotion_date,working_hours_per_month,kpi_score,work_life_balance_score,overtime_hours,job_satisfaction,number_of_projects,distance_from_home,trainings_and_certifications,hire_date,engagement_trend
E0212,Customer Success,44838.53,6.2,,0,2023-11-20,130.4,7.5,2,0,4,7,12,2,2022-11-28,2.9833333333333343
E0213,Finance,65846.24,1.5,2.19,0,2023-10-12,133.2,40.8,2,3,4,3,23,2,2021-06-10,
E0214,Marketing and Communications,66386.36,1.8,2.84,0,2024-04-02,162.7,30.7,4,3,4,3,39,5,2024-01-06,
E0215,Finance,51237.8,1.0,2.19,0,2020-09-28,153.5,39.5,2,2,3,2,40,2,2017-02-19,
E0216,PMO,61361.06,6.3,4.19,0,2021-02-12,133.1,15.1,2,9,4,2,36,3,2022-12-21,2.406666666666667
E0217,Marketing and Communications,78464.67,3.29,1.12,1,2020-10-18,154.4,25.1,2,10,3,2,35,4,2023-11-08,3.073333333333334
E0218,Customer Success,77144.34,3.22,2.44,1,2023-09-15,170.1,21.5,3,10,4,4,3,6,2019-01-19,2.5000000000000004
E0219,Business Solution,77612.9,2.2,2.02,0,2023-03-03,170.6,46.5,1,4,5,6,42,2,2016-01-08,2.583333333333334
E0220,Customer Success,72504.82,1.0,3.16,0,2021-03-18,122.0,8.0,2,10,1,10,28,5,2024-02-26,1.8600000000000005
E0221,GRCS,54965.13,0.5599999999999999,2.06,1,2022-05-25,157.4,10.9,3,5,3,3,15,7,2020-05-31,2.5400000000000005
E0222,Datazone,53644.77,5.6,2.6,0,2021-11-29,132.3,12.0,2,2,4,3,13,4,2023-01-28,2.413333333333334
E0223,Sales,78924.08,3.7,,0,2021-11-24,178.0,11.0,1,2,4,2,19,4,2015-10-24,2.6066666666666674
E0224,HR,34298.97,4.1,2.61,0,2024-11-04,175.7,12.0,3,2,2,2,40,8,2016-04-25,
E0225,HR,47785.12,3.2,3.39,0,2024-02-05,142.0,24.9,2,6,5,6,18,4,2023-06-07,
E0226,Product Engineering,93843.93,1.6,3.13,0,2021-06-22,144.7,32.9,3,2,4,1,31,2,2022-02-11,
E0227,Sales,95882.92,2.2,4.0,0,2023-11-14,150.8,9.2,4,9,2,4,37,3,2022-07-14,3.0433333333333343
E0228,Product Engineering,83726.86,1.4,2.28,0,2021-11-04,120.0,24.2,3,8,1,6,21,2,2017-02-12,3.5066666666666677
E0229,Customer Success,75127.51,0.84,2.49,1,2022-08-26,166.7,30.3,1,6,4,2,39,3,2023-08-16,3.136666666666667
E0230,Business Solution,77019.5,3.15,2.85,1,2024-03-20,154.5,40.3,1,6,2,3,5,3,2022-10-30,2.923333333333334
E0231,GRCS,77987.25,0.8,2.52,0,2022-05-29,179.4,5.1,3,3,2,1,17,2,2016-07-13,2.5400000000000005
E0232,Customer Success,69298.06,1.4,,0,2020-12-03,138.0,34.5,4,9,3,5,19,2,2016-08-28,2.6200000000000006
E0233,Sales,81318.04,2.3,3.11,0,2024-01-19,147.6,30.4,1,10,4,1,4,0,2020-10-05,
E0234,Finance,57712.69,1.96,,1,2024-12-17,129.9,23.9,3,7,4,3,26,3,2017-10-21,
E0235,Marketing and Communications,70755.61,1.0,2.7,0,2021-02-11,139.9,17.1,3,5,3,3,24,1,2016-05-26,
E0236,HR,49156.22,0.8,1.32,0,2020-09-17,136.4,10.8,3,9,4,4,39,5,2017-06-06,
E0237,TSS,69069.84,3.5,4.0,0,2024-11-17,179.9,7.2,4,2,5,2,38,4,2019-12-17,
E0238,Customer Success,49766.0,3.0,2.89,0,2020-05-28,146.0,38.8,5,5,3,2,46,3,2025-03-29,2.6733333333333342
E0239,Finance,62620.18,5.6,4.21,0,2021-01-27,162.5,8.7,3,5,4,4,19,3,2024-08-11,2.7366666666666677
E0240,Product Engineering,67214.65,2.9,2.8,0,2022-04-17,152.4,11.7,3,8,5,0,30,3,2020-10-24,3.7000000000000006
E0241,Product Engineering,89032.56,3.7,3.92,0,2021-09-11,134.6,32.2,3,6,4,3,26,3,2021-10-05,3.3000000000000007
E0242,Product Engineering,82001.72,1.7,4.82,0,2023-09-27,156.6,2.7,5,6,4,3,11,2,2024-04-22,3.643333333333333
E0243,Sales,84069.31,1.7,2.86,0,2024-05-30,172.0,26.9,4,7,3,7,39,4,2020-04-19,3.8466666666666676
E0244,TSS,65730.27,1.1,2.76,0,2024-05-17,135.8,19.5,5,5,3,3,3,0,2023-01-01,3.866666666666667
E0245,Product Engineering,84493.89,1.7,3.51,0,2022-02-06,176.2,30.5,2,5,3,2,22,0,2023-11-19,3.4800000000000004
E0246,Sales,62756.48,2.2,2.91,0,2023-09-10,143.0,15.0,4,7,4,2,17,1,2022-08-08,3.0433333333333334
E0247,Product Engineering,71741.49,5.3,2.2,0,2020-10-12,150.3,22.8,2,4,5,1,11,3,2016-12-20,3.0600000000000005
E0248,Product Engineering,105014.17,1.5,,0,2021-09-06,170.6,32.8,2,4,1,1,47,2,2017-03-24,2.8733333333333344
E0249,Product Engineering,102256.48,7.9,3.0,0,2023-07-04,146.7,51.4,5,6,2,3,39,3,2024-08-29,
E0250,HR,56367.79,3.8,3.29,0,2020-04-19,160.8,18.1,1,6,2,2,47,3,2018-12-10,
E0251,Sales,73937.32,3.4,4.32,0,2023-08-08,153.7,17.3,5,4,4,3,27,5,2022-08-07,
E0252,Product Engineering,81954.52,1.89,2.38,1,2022-07-15,162.6,10.9,2,5,2,6,49,6,2022-12-18,3.5366666666666675
E0253,PMO,83744.71,2.4,2.07,0,2024-02-25,120.0,23.1,4,3,4,2,43,6,2019-03-03,3.3300000000000005
E0254,Finance,68050.86,1.9,,0,2022-09-16,123.4,43.1,2,10,3,3,29,2,2022-04-28,2.923333333333334
E0255,GRCS,46681.79,1.0,1.51,0,2023-11-18,172.3,36.3,3,6,3,2,12,3,2021-01-18,
E0256,Product Engineering,107195.92,1.6,3.58,0,2025-01-03,180.7,34.4,2,6,3,3,13,4,2022-12-30,
E0257,Marketing and Communications,74828.45,6.3,2.1,0,2024-06-03,141.8,40.9,3,4,4,1,11,4,2022-01-24,
E0258,Customer Success,59181.92,3.7,3.98,0,2021-08-06,155.1,17.9,3,1,3,1,31,6,2022-05-11,2.3966666666666674
E0259,Datazone,96367.84,6.3,4.07,0,2021-11-23,165.9,1.8,3,5,5,1,11,2,2016-11-24,3.2200000000000006
E0260,Customer Success,70489.1,1.8,2.32,0,2022-10-21,173.9,16.4,1,7,3,1,41,0,2020-08-07,3.383333333333334
E0261,Product Engineering,95849.53,1.3,3.65,0,2022-02-18,120.0,39.0,1,4,2,3,43,2,2022-07-17,3.4566666666666674
E0262,Datazone,73726.51,1.89,1.67,1,2020-10-11,142.3,13.0,3,5,2,6,36,2,2020-08-06,3.3466666666666676
E0263,GRCS,65394.09,1.6,1.9,0,2025-03-17,153.3,40.7,3,5,5,5,2,3,2019-08-14,2.5466666666666673
E0264,Product Engineering,102555.69,3.1,1.52,0,2024-11-22,174.1,25.1,4,7,4,3,23,5,2021-08-25,2.4066666666666676
E0265,Marketing and Communications,79460.52,0.8,3.36,0,2020-10-19,200.0,28.8,4,9,1,3,36,4,2017-11-17,1.6966666666666672
E0266,Marketing and Communications,70647.08,0.6,3.78,0,2022-12-13,155.4,40.2,2,2,4,4,14,8,2023-05-08,2.2600000000000002
E0267,Marketing and Communications,69457.85,3.3,3.6,0,2020-10-07,131.9,20.1,3,6,3,2,37,3,2016-06-04,2.8866666666666667
E0268,Sales,72522.35,4.48,1.96,1,2020-09-15,168.0,57.1,2,4,3,3,49,1,2016-10-31,3.5800000000000005
E0269,HR,58898.01,2.38,1.59,1,2025-04-01,186.4,25.3,3,5,2,5,27,1,2016-09-25,3.1133333333333337
E0270,Business Solution,86272.69,3.7,1.79,0,2024-05-03,162.2,55.9,3,5,4,6,12,1,2016-11-13,2.383333333333334
E0271,Business Solution,66984.43,2.8,3.26,0,2024-07-23,141.9,29.6,3,3,2,1,29,6,2022-08-18,1.7800000000000005
E0272,Product Engineering,106031.05,3.0,4.65,0,2024-10-19,179.2,17.4,2,4,3,4,6,1,2016-12-04,2.213333333333334
E0273,Product Engineering,100201.11,1.0,4.13,0,2021-08-15,173.3,37.4,1,5,3,3,44,5,2021-08-15,3.2333333333333343
E0274,GRCS,77851.23,1.6,4.04,0,2020-10-06,139.5,30.2,2,4,2,4,47,2,2017-06-30,4.0133333333333345
E0275,GRCS,49684.35,5.2,3.29,0,2024-08-07,167.6,9.5,3,5,3,2,23,6,2024-09-30,4.273333333333334
E0276,Business Solution,92817.83,1.3,4.78,0,2020-12-17,179.9,49.6,1,2,1,5,10,1,2016-04-20,3.8200000000000003
E0277,Customer Success,46940.81,2.2,1.69,0,2021-11-11,183.6,34.3,2,4,3,1,34,3,2025-04-05,4.036666666666668
E0278,Marketing and Communications,74406.16,5.2,3.42,0,2020-11-11,158.7,52.5,3,5,5,4,44,8,2024-11-01,3.2533333333333343
E0279,Business Solution,46460.75,2.9,4.13,0,2020-11-10,152.8,29.6,1,6,3,5,12,2,2024-11-02,3.2966666666666673
E0280,Product Engineering,83306.32,3.0,1.78,0,2022-04-13,184.5,15.0,2,10,3,1,32,3,2020-11-21,3.0800000000000005
E0281,PMO,82717.08,1.54,2.35,1,2023-09-19,135.8,30.5,2,7,3,1,26,2,2017-05-12,3.1100000000000008
E0282,Sales,78667.05,4.0,2.97,0,2021-04-20,168.8,30.3,1,6,3,4,7,3,2022-04-09,2.753333333333334
E0283,Datazone,101685.06,4.6,2.37,0,2025-02-15,132.6,17.7,3,7,4,1,32,5,2021-04-19,2.366666666666667
E0284,Customer Success,67165.21,1.6,1.69,0,2022-05-17,181.3,19.6,3,4,2,4,33,3,2022-06-24,2.563333333333334
E0285,TSS,71112.54,1.0,4.54,0,2025-03-16,154.8,24.2,3,7,4,3,18,2,2016-02-27,2.3433333333333337
E0286,Sales,81713.61,0.7,2.08,0,2020-08-14,185.4,52.4,3,6,4,4,35,6,2020-03-05,2.866666666666667
E0287,GRCS,90005.15,3.6,2.31,0,2020-12-23,169.8,5.1,2,2,4,5,20,1,2020-08-06,2.770000000000001
E0288,HR,67408.52,3.4,2.46,0,2023-11-06,135.5,21.6,4,3,2,4,31,3,2021-04-07,2.976666666666667
E0289,Customer Success,70355.01,9.2,,0,2025-03-31,188.5,52.6,3,4,1,3,5,1,2017-01-16,2.2833333333333337
E0290,TSS,76768.44,2.8,3.31,0,2025-02-02,191.0,9.4,4,4,3,5,32,5,2025-02-11,
E0291,TSS,57956.99,1.75,3.08,1,2024-09-23,177.6,79.5,1,7,4,6,47,3,2023-11-30,
E0292,Business Solution,76910.85,3.1,3.96,0,2022-12-21,144.8,40.2,5,7,3,4,42,2,2018-11-25,
E0293,Sales,85719.75,2.24,3.72,1,2022-07-02,153.9,12.1,2,5,3,2,19,4,2017-11-30,3.4500000000000006
E0294,Datazone,83482.0,2.4,,0,2022-01-07,162.9,29.8,5,3,2,1,1,7,2023-06-27,3.5866666666666673
E0295,GRCS,79023.23,1.6,4.52,0,2022-12-15,145.9,16.5,3,6,4,1,7,2,2019-02-05,
E0296,Business Solution,93897.04,2.7,2.64,0,2022-04-24,193.8,15.3,3,3,4,1,22,0,2017-02-14,
E0297,Finance,80164.22,2.7,3.1,0,2022-07-17,162.9,31.1,4,9,2,2,34,2,2021-03-28,
E0298,Customer Success,84387.5,2.6,2.89,0,2023-08-25,120.0,4.0,4,7,1,2,10,2,2024-09-29,3.4200000000000004
E0299,Datazone,96756.3,4.2,3.82,0,2021-05-24,166.8,5.4,5,5,3,3,47,4,2021-07-14,2.876666666666667
E0300,TSS,53230.73,1.89,1.87,1,2022-11-01,153.0,31.8,3,8,3,5,42,1,2017-03-27,3.27
E0301,GRCS,58868.7,1.0,4.14,0,2024-03-03,158.5,18.1,4,6,4,4,26,3,2020-01-08,2.8600000000000008
E0302,GRCS,84732.13,1.8,2.8,0,2022-12-21,152.6,36.4,2,3,4,2,32,2,2025-01-18,3.276666666666667
E0303,Customer Success,72029.82,2.4,3.1,0,2020-11-24,176.1,26.1,3,8,4,4,42,5,2019-02-17,2.936666666666667
E0304,Marketing and Communications,60479.0,2.8,2.3,0,2020-05-11,182.4,15.6,2,10,2,3,27,4,2022-08-01,3.346666666666667
E0305,Product Engineering,109952.6,3.6,2.77,0,2024-03-06,165.7,37.9,3,6,4,1,12,4,2024-10-28,2.733333333333334
E0306,GRCS,49235.25,2.8,2.66,0,2025-01-26,153.2,30.2,5,7,5,2,40,0,2024-10-02,2.723333333333334
E0307,PMO,83035.08,0.6,3.28,0,2021-02-17,159.2,76.7,2,2,5,1,23,6,2015-09-24,2.576666666666667
E0308,Business Solution,92118.8,1.1,1.66,0,2020-11-26,160.4,18.6,3,5,4,3,14,1,2019-10-31,2.9033333333333338
E0309,HR,46551.64,3.8,2.94,0,2024-11-08,144.0,9.6,3,8,3,4,34,5,2015-10-10,2.5333333333333337
E0310,Sales,75358.98,2.3,3.21,0,2022-02-04,171.6,47.6,2,6,4,7,17,8,2018-05-09,2.626666666666667
E0311,TSS,63001.11,2.9,2.63,0,2024-08-01,169.2,22.9,3,2,4,4,6,4,2019-12-07,2.603333333333334
E0312,TSS,40776.31,2.2,4.16,0,2022-07-15,190.8,11.2,3,3,4,2,27,8,2020-07-15,2.926666666666667
E0313,Product Engineering,106011.57,1.8,3.63,0,2021-05-29,185.1,31.2,2,10,3,2,8,4,2021-01-23,3.3333333333333335
E0314,Business Solution,79852.96,1.54,3.13,1,2023-04-02,146.3,29.2,2,5,5,3,33,2,2021-04-03,3.473333333333334
E0315,Marketing and Communications,60651.24,2.9,2.08,0,2020-11-12,176.4,25.4,5,4,3,3,35,8,2015-05-21,3.6400000000000006
E0316,Sales,69116.56,2.7,3.11,0,2022-05-11,141.0,36.2,2,9,2,1,47,4,2018-05-15,2.9466666666666668
E0317,Finance,71815.9,3.15,1.02,1,2023-06-05,173.9,18.5,2,4,2,3,17,1,2017-09-20,2.7733333333333334
E0318,Finance,59590.36,0.9,2.29,0,2022-09-15,149.7,46.4,3,5,4,3,26,4,2024-11-30,2.0700000000000003
E0319,HR,60994.77,1.0,4.08,0,2021-08-16,139.5,33.6,4,1,3,3,7,3,2022-02-06,2.14
E0320,GRCS,58571.55,2.3,1.93,0,2024-01-04,165.6,10.4,2,5,2,3,46,2,2016-06-19,2.4633333333333334
E0321,Marketing and Communications,59374.47,2.59,2.58,1,2024-11-25,120.0,37.1,2,11,4,3,24,6,2017-09-11,2.766666666666667
E0322,Customer Success,67489.45,4.1,1.87,0,2022-11-08,125.0,20.6,3,2,4,5,25,1,2015-10-21,2.8633333333333333
E0323,HR,45932.38,1.8,1.6,0,2024-10-12,156.5,77.4,5,5,4,3,35,3,2016-11-04,2.1266666666666665
E0324,Product Engineering,106219.84,0.3,3.87,0,2020-05-07,161.6,17.6,3,6,3,2,26,7,2024-04-22,2.016666666666667
E0325,Marketing and Communications,62069.51,1.9,2.98,0,2024-12-31,152.6,10.9,3,7,4,4,5,3,2018-12-10,2.4466666666666668
E0326,GRCS,54353.57,3.4,1.41,0,2022-10-30,128.4,16.1,5,3,1,3,47,5,2021-09-06,2.8166666666666664
E0327,Customer Success,63269.02,2.6,1.39,0,2021-02-28,143.6,22.4,3,7,3,1,38,3,2022-06-04,2.7533333333333334
E0328,Sales,88770.8,3.7,3.15,0,2021-06-04,167.8,22.7,4,7,3,1,35,2,2022-12-31,1.9266666666666665
E0329,HR,65271.26,5.1,3.76,0,2022-07-13,171.6,36.0,3,6,4,4,30,1,2021-01-30,1.9833333333333332
E0330,Sales,83157.76,1.68,1.84,1,2021-04-06,159.7,6.8,2,6,3,3,25,3,2017-12-17,2.766666666666666
E0331,Business Solution,68523.94,2.0,3.73,0,2021-03-11,183.1,13.1,3,10,1,2,24,1,2021-07-30,2.9166666666666665
E0332,TSS,64323.57,1.5,3.27,0,2024-12-26,167.9,26.9,4,6,3,5,30,4,2020-08-01,3.1099999999999994
E0333,Datazone,81063.68,1.0,2.71,0,2021-08-08,145.1,9.1,3,8,3,7,20,4,2020-10-19,2.9466666666666668
E0334,TSS,78939.13,0.5599999999999999,2.61,1,2022-08-07,154.4,38.6,3,5,5,1,3,6,2024-12-08,3.2366666666666664
E0335,TSS,51121.25,1.7,1.95,0,2022-09-05,131.9,13.5,2,6,5,4,32,5,2016-09-22,2.8633333333333333
E0336,Product Engineering,76057.3,4.8,2.9,0,2022-01-27,157.8,18.2,3,9,2,2,8,3,2016-03-05,2.4233333333333333
E0337,Marketing and Communications,55071.58,2.73,1.78,1,2023-03-14,182.2,8.7,1,5,2,3,47,1,2017-12-05,2.486666666666667
E0338,Sales,81954.1,1.9,2.79,0,2022-01-05,173.7,8.0,2,7,2,2,23,3,2017-12-17,2.21
E0339,Datazone,80307.91,8.0,,0,2022-07-12,188.0,46.7,3,4,4,0,46,0,2016-02-17,2.4899999999999998
E0340,Sales,74556.29,1.8,1.82,0,2024-07-31,153.9,23.5,2,3,1,3,16,2,2016-09-01,
E0341,Sales,88682.87,5.4,3.44,0,2024-06-08,186.9,15.1,4,9,2,4,35,4,2019-11-29,
E0342,Finance,62206.64,6.1,4.56,0,2022-06-02,156.1,40.1,2,4,3,0,25,4,2022-10-27,
E0343,Sales,60858.05,3.5,3.54,0,2020-09-17,189.4,73.6,4,4,3,0,15,4,2022-06-30,3.2733333333333334
E0344,Sales,85046.2,1.7,3.09,0,2021-01-24,159.6,21.8,3,3,2,1,8,4,2023-07-18,3.8466666666666662
E0345,Customer Success,68133.67,2.1,3.45,0,2023-11-20,174.1,47.0,2,2,3,3,34,1,2022-10-20,3.73
E0346,Customer Success,68769.08,2.1,3.3,1,2022-08-20,189.5,43.5,1,5,3,1,25,3,2022-04-30,3.36
E0347,TSS,60927.56,1.0,4.47,0,2020-08-27,156.1,29.9,2,6,3,2,49,1,2019-12-06,3.28
E0348,Sales,84989.76,0.98,2.26,1,2020-04-24,164.4,24.0,2,14,5,5,44,2,2018-12-13,3.7399999999999998
E0349,Customer Success,43423.74,0.91,2.03,1,2023-02-13,185.8,66.5,2,9,2,3,19,3,2023-12-31,3.3433333333333333
E0350,GRCS,48559.25,3.6,3.17,0,2021-05-24,157.3,10.0,1,4,3,5,43,4,2017-03-21,2.92
E0351,Product Engineering,74095.99,5.1,2.22,0,2022-07-05,133.6,52.6,5,7,5,3,13,3,2021-02-25,2.4866666666666664
E0352,Customer Success,65016.98,4.0,1.76,0,2021-08-28,200.0,21.6,1,5,4,5,46,4,2022-08-06,2.473333333333333
E0353,Finance,69514.77,3.22,2.75,1,2024-01-15,150.6,18.4,3,10,3,4,12,3,2017-03-03,2.3833333333333333
E0354,TSS,53917.04,1.6,3.47,0,2024-12-22,163.2,8.4,3,4,4,7,15,7,2020-02-07,2.2433333333333336
E0355,Customer Success,38007.62,2.2,,0,2023-12-02,183.1,21.3,3,7,2,2,23,0,2023-07-24,2.6599999999999997
E0356,TSS,68867.94,1.61,1.89,1,2025-01-19,147.8,9.2,1,7,4,4,40,3,2024-03-31,
E0357,Customer Success,41701.38,3.5,3.07,0,2020-05-13,139.8,47.0,3,2,5,2,2,2,2020-07-12,
E0358,Product Engineering,116558.07,1.19,1.65,1,2021-03-26,165.1,25.9,3,6,3,3,40,1,2016-01-21,
E0359,Customer Success,63397.51,4.5,3.41,0,2020-12-02,124.1,37.9,3,6,3,2,23,4,2019-01-13,2.203333333333333
E0360,Sales,64866.41,4.199999999999999,2.11,1,2021-07-20,154.2,21.9,3,8,2,1,5,3,2022-01-03,2.7099999999999995
E0361,Customer Success,67522.51,3.6,4.15,0,2024-12-03,164.9,35.9,3,4,4,8,34,8,2016-03-19,2.39
E0362,Sales,67343.92,2.1,3.97,0,2020-08-02,154.6,14.6,2,3,3,2,10,5,2015-05-31,3.223333333333333
E0363,GRCS,65551.73,1.0499999999999998,3.38,1,2023-06-04,129.1,18.7,1,6,4,1,27,1,2018-10-05,3.41
E0364,Product Engineering,85907.17,1.3,2.54,0,2025-03-27,191.9,12.7,3,5,1,5,42,3,2020-05-29,3.8333333333333335
E0365,Sales,60544.75,0.6,3.93,0,2024-12-24,162.1,38.7,3,7,3,3,4,4,2018-11-16,3.296666666666667
E0366,Product Engineering,98597.21,2.3,3.06,0,2021-07-17,188.6,16.8,3,10,3,1,4,4,2017-08-13,3.283333333333333
E0367,Product Engineering,112190.77,1.54,2.66,1,2023-12-09,154.8,38.2,3,9,3,1,8,5,2019-08-18,3.176666666666667
E0368,Finance,60594.44,4.3,2.49,0,2021-05-13,142.4,2.1,3,5,3,3,6,3,2020-03-16,3.216666666666667
E0369,TSS,71209.13,1.26,2.21,1,2020-08-20,165.4,55.6,2,5,3,5,25,4,2020-11-11,2.736666666666667
E0370,Datazone,70328.93,2.4,3.38,0,2022-11-26,155.7,22.4,1,4,4,1,27,1,2017-04-28,2.453333333333333
E0371,TSS,65208.9,3.2,4.66,0,2023-05-20,136.4,37.3,3,4,4,1,47,0,2015-06-01,2.6933333333333334
E0372,Datazone,80874.92,3.6,3.08,0,2020-08-14,189.4,2.1,3,8,4,4,40,3,2023-09-29,3.4166666666666665
E0373,Marketing and Communications,50353.2,4.1,4.0,0,2023-04-29,147.6,5.1,3,8,3,5,20,0,2022-08-10,3.706666666666667
E0374,TSS,58322.76,3.0,3.03,0,2022-01-25,123.2,79.5,4,4,5,5,27,4,2018-04-09,3.9133333333333336
E0375,PMO,53368.07,1.1,3.6,0,2022-05-28,186.6,17.8,3,4,4,6,7,2,2017-06-24,3.3699999999999997
E0376,Business Solution,76439.18,3.4,2.51,0,2021-02-26,149.9,53.1,3,8,3,4,23,4,2021-10-01,3.543333333333333
E0377,TSS,66855.12,1.7,2.26,0,2023-04-16,147.8,13.7,3,4,2,0,20,5,2024-05-05,3.046666666666667
E0378,Business Solution,108320.29,3.64,2.71,1,2025-01-16,124.7,27.5,2,8,3,2,49,5,2019-03-13,2.7900000000000005
E0379,HR,53809.76,2.7,3.19,0,2023-09-27,194.8,25.5,3,6,5,3,34,3,2023-10-17,2.493333333333333
E0380,Datazone,69702.07,2.17,1.95,1,2021-08-06,134.2,14.3,1,3,3,5,29,5,2024-10-14,2.72
E0381,Marketing and Communications,58740.95,9.6,2.85,0,2022-04-18,161.2,23.9,2,5,3,1,44,4,2021-04-22,2.6166666666666667
E0382,Customer Success,50469.82,4.1,4.7,0,2021-08-30,178.3,9.9,2,3,2,4,5,3,2016-07-04,2.6633333333333336
E0383,Product Engineering,118269.8,3.3,4.47,0,2021-10-15,168.4,59.6,3,9,4,3,27,1,2022-01-14,3.1666666666666665
E0384,Marketing and Communications,43360.56,2.4,4.77,0,2023-10-15,158.8,27.4,4,4,3,3,12,0,2016-01-01,4.006666666666667
E0385,Business Solution,86292.52,1.1,3.28,0,2020-06-29,126.0,23.9,3,8,3,7,17,4,2022-09-14,4.646666666666666
E0386,HR,47454.34,2.3,3.75,0,2021-10-22,143.8,9.6,2,8,3,5,37,5,2015-08-08,4.173333333333333
E0387,Finance,71815.9,1.0499999999999998,2.14,1,2023-02-09,163.8,31.2,3,4,3,1,34,7,2023-02-07,3.9333333333333336
E0388,Business Solution,58103.54,6.4,1.18,0,2023-10-14,144.3,9.1,4,6,3,3,30,4,2016-08-09,3.0566666666666666
E0389,Business Solution,78970.09,3.4,2.19,0,2022-05-24,164.1,9.8,4,9,3,5,36,5,2020-08-10,2.356666666666667
E0390,Product Engineering,103181.47,5.1,2.05,0,2022-07-20,173.6,14.1,3,4,4,5,6,2,2025-01-28,1.8366666666666667
E0391,Sales,80741.82,1.8,3.42,0,2021-08-20,179.3,3.6,4,4,4,6,32,0,2022-08-02,1.8066666666666666
E0392,Sales,45957.14,1.6,2.64,0,2021-03-14,135.5,9.0,1,6,4,2,32,7,2025-01-13,2.5533333333333332
E0393,Business Solution,70996.32,3.9,1.3,0,2023-07-15,200.0,27.5,2,13,2,4,9,3,2022-02-28,2.703333333333333
E0394,PMO,84359.2,1.5,2.54,0,2020-08-11,175.3,29.3,1,6,4,6,22,5,2022-05-22,2.4533333333333336
E0395,Product Engineering,87559.98,2.0,3.46,0,2024-04-14,160.0,9.8,4,8,2,1,10,4,2020-03-16,2.16
E0396,Product Engineering,90915.34,4.619999999999999,3.83,1,2022-03-05,181.8,35.4,2,10,2,1,29,1,2017-03-29,2.4333333333333336
E0397,Sales,77511.13,2.1,3.54,0,2021-12-24,200.0,39.3,3,1,5,1,11,2,2022-03-04,3.276666666666667
E0398,Business Solution,63141.8,1.0,2.62,0,2024-03-13,131.2,42.1,3,8,4,3,28,4,2015-08-21,3.61
E0399,Business Solution,83646.98,0.7,3.91,0,2023-04-04,155.5,46.7,3,4,3,4,2,3,2020-10-22,3.33
E0400,Datazone,84303.84,0.9,2.63,0,2022-11-17,120.0,20.9,4,4,4,2,21,3,2018-03-16,3.356666666666667
E0401,Product Engineering,100282.45,3.71,2.55,1,2022-03-21,163.9,16.7,3,4,5,2,31,3,2023-02-09,3.0533333333333332
E0402,GRCS,70978.41,1.9,3.61,0,2022-03-06,167.3,24.1,3,6,4,3,41,0,2021-06-09,3.03
E0403,Business Solution,71815.9,9.4,3.32,0,2020-06-25,159.2,29.7,4,6,4,5,17,2,2016-10-12,2.9299999999999997
E0404,PMO,68016.93,6.1,2.65,0,2021-12-04,146.9,41.3,1,3,4,5,27,4,2022-09-17,3.16
E0405,Product Engineering,97492.15,7.5,1.56,0,2023-09-02,120.0,5.8,3,5,3,2,30,2,2017-01-30,3.1933333333333334
E0406,Sales,66407.05,4.7,1.79,0,2023-01-27,167.5,31.7,4,8,2,5,41,2,2019-06-03,2.5100000000000002
E0407,TSS,77063.31,2.66,2.42,1,2022-08-26,189.1,21.6,2,11,4,1,8,2,2022-09-11,2.0
E0408,Product Engineering,84797.11,1.5,1.84,0,2020-11-14,148.2,24.1,4,3,3,1,37,3,2022-02-04,1.9233333333333336
E0409,Datazone,83984.45,2.7,1.21,0,2022-08-28,168.8,23.1,3,2,2,4,5,4,2024-03-12,2.016666666666667
E0410,PMO,77732.19,4.0,2.26,0,2023-04-08,128.6,14.6,3,7,3,3,26,1,2016-08-14,1.8233333333333333
E0411,Product Engineering,57191.76,3.22,3.18,1,2024-08-12,169.1,28.8,2,8,3,4,6,2,2022-01-06,1.7700000000000002
E0412,Product Engineering,84513.5,1.2,3.11,0,2023-09-06,152.1,31.6,2,6,5,4,16,6,2020-07-23,2.216666666666667
E0413,Customer Success,73336.65,2.4,1.82,0,2024-11-03,144.8,30.6,1,6,4,5,1,1,2021-01-21,2.85
E0414,Customer Success,77359.32,2.5,3.9,0,2023-02-05,144.8,17.9,3,4,3,0,9,0,2019-01-19,2.7033333333333336
E0415,Sales,63926.55,2.5,1.69,0,2020-07-07,152.1,20.6,4,6,5,6,21,6,2020-12-12,2.943333333333334
E0416,HR,52151.35,1.3,3.81,0,2021-04-06,167.6,4.2,3,10,5,3,7,3,2018-02-21,2.47
E0417,PMO,50597.39,4.9,2.5,1,2022-07-03,133.8,13.7,1,6,3,4,43,2,2016-07-31,3.1333333333333333
E0418,Marketing and Communications,69853.22,2.3,1.6,0,2021-10-19,152.1,7.3,3,3,5,1,15,4,2023-12-20,2.6666666666666665
E0419,Business Solution,96115.28,1.4,2.89,0,2025-03-21,159.2,41.0,3,0,3,1,24,3,2017-03-22,2.636666666666667
E0420,Business Solution,93690.61,7.1,1.73,0,2022-07-16,138.0,16.4,5,8,3,3,5,1,2024-04-23,2.3300000000000005
E0421,Business Solution,69463.52,4.27,,1,2020-08-09,195.9,28.7,1,5,3,6,38,0,2023-12-16,2.0733333333333337
E0422,Datazone,80491.49,2.9,2.64,0,2021-03-15,142.9,25.0,3,4,4,6,29,4,2018-07-31,
E0423,Sales,53871.2,0.7,3.33,0,2023-12-24,146.6,22.6,3,5,3,2,46,4,2021-03-23,
